id,country,grant_year,year_actual,cowcode,grant,recipient,subgrantee,prevention,protection,prosecution,research,amount,region1,region2,recipient_type
1,Afghanistan,2002,2002-01-01,700,1.0,IOM,NA,1.0,1.0,1.0,0.0,NA,NA,NA,IGO
2,Afghanistan,2003,2003-01-01,700,1.0,IOM,NA,1.0,1.0,1.0,0.0,330568.0,NA,NA,IGO
3,Afghanistan,2004,2004-01-01,700,1.0,IOM,NA,1.0,1.0,1.0,0.0,101852.0,NA,NA,IGO
4,Afghanistan,2004,2004-01-01,700,1.0,UNICEF,NA,1.0,1.0,1.0,0.0,3e5,NA,NA,IGO
5,Afghanistan,2004,2004-01-01,700,1.0,IOM,NA,1.0,1.0,0.0,0.0,3e5,NA,NA,IGO
6,Afghanistan,2005,2005-01-01,700,1.0,UNICEF,"MOJ, MOLSA, Ministry of Religious Affairs, MOWA, MOI, AIHRC",1.0,1.0,0.0,0.0,330568.0,NA,NA,IGO
7,Afghanistan,2006,2006-01-01,700,1.0,IOM,NA,1.0,1.0,0.0,0.0,69993.0,NA,NA,IGO
8,Afghanistan,2007,2007-01-01,700,1.0,TAF,NA,1.0,1.0,0.0,0.0,385e3,NA,NA,NPO
9,Afghanistan,2007,2007-01-01,700,1.0,IOM,NA,1.0,0.0,1.0,0.0,277100.0,NA,NA,IGO
10,Afghanistan,2008,2008-01-01,700,1.0,IOM,NA,1.0,0.0,1.0,0.0,54e4,NA,NA,IGO
11,Afghanistan,2009,2009-01-01,700,1.0,Afghan Women Skills Development Center,NA,1.0,1.0,0.0,0.0,2e5,NA,NA,NPO
12,Afghanistan,2009,2009-01-01,700,1.0,IOM,NA,1.0,0.0,0.0,0.0,307500.0,NA,NA,IGO
13,Afghanistan,2010,2010-01-01,700,1.0,Women for Afghan Women,NA,1.0,1.0,1.0,0.0,35e4,NA,NA,NPO
14,Afghanistan,2010,2010-01-01,700,1.0,"Hagar USA, Inc.",NA,1.0,1.0,0.0,0.0,35e4,NA,NA,NPO
15,Afghanistan,2011,2011-01-01,700,1.0,Afghan Women Skills Development Center,NA,1.0,0.0,1.0,0.0,25e4,NA,NA,NPO
16,Afghanistan,2011,2011-01-01,700,1.0,"Hagar USA, Inc.",NA,0.0,1.0,1.0,0.0,704e3,NA,NA,NPO
17,Afghanistan,2011,2011-01-01,700,1.0,IOM,NA,1.0,0.0,0.0,0.0,2e5,NA,NA,IGO
18,Afghanistan,2011,2011-01-01,700,1.0,Voice of Afghan Women,NA,1.0,1.0,1.0,0.0,25e4,NA,NA,NPO
19,Afghanistan,2012,2012-01-01,700,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,
20,Afghanistan,2013,2013-01-01,700,1.0,The Rugmark Foundation,NA,1.0,1.0,0.0,0.0,3e5,NA,NA,NPO
21,Afghanistan,2014,2014-01-01,700,1.0,SB Security Governance Group,NA,0.0,0.0,1.0,0.0,55e4,NA,NA,Private Firm
22,Africa,2002,2002-01-01,NA,1.0,UNODCCP/CICP,ECOWAS,0.0,1.0,1.0,0.0,NA,Africa Regional,NA,IGO
