embassy_name_in_cable,country,iso,ccode,city,lat,long
Abudhabi,United Arab Emirates,ARE,696,Abu Dhabi,24.2991738,54.6972774
Abuja,Nigeria,NGA,475,Abuja,9.0764785,7.398574
Accra,Ghana,GHA,452,Accra,5.6037168,-0.1869644
Adana,Turkey,TUR,640,Adana,36.9914194,35.3308285
Addisababa,Ethiopia,ETH,530,Addis Ababa,8.9806034,38.7577605
Aittaipei,"Taiwan, Province of China",TWN,713,Taipei City,25.0344173,121.5608141
Alexandria,Egypt,EGY,651,Alexandria,31.2000924,29.9187387
Algiers,Algeria,DZA,615,Algiers,36.752887,3.042048
Almaty,Kazakhstan,KAZ,705,Almaty,43.2220146,76.8512485
Amman,Jordan,JOR,663,Amman,31.9565783,35.9456951
Amsterdam,Netherlands,NLD,210,Amsterdam,52.3702157,4.895167900000001
Ankara,Turkey,TUR,640,Ankara,39.9333635,32.8597419
Antananarivo,Madagascar,MDG,580,Antananarivo,-18.8791902,47.5079055
Apia,Samoa,WSM,990,Apia,-13.8506958,-171.7513551
Ashgabat,Turkmenistan,TKM,701,Ashgabat,37.9600766,58.32606289999999
Asmara,Eritrea,ERI,531,Asmara,15.3228767,38.9250517
Astana,Kazakhstan,KAZ,705,Astana,51.16052269999999,71.4703558
Asuncion,Paraguay,PRY,150,Asuncion,-25.2637399,-57.57592599999999
Athens,Greece,GRC,350,Athens,37.983917,23.7293599
Auckland,New Zealand,NZL,920,Auckland,-36.8484597,174.7633315
Baghdad,Iraq,IRQ,645,Baghdad,33.3128057,44.3614875
Baku,Azerbaijan,AZE,373,Baku,40.40926169999999,49.8670924
Bamako,Mali,MLI,432,Bamako,12.6392316,-8.0028892
Bandarseribegawan,Brunei Darussalam,BRN,835,Bandar Seri Begawan,4.903052199999999,114.939821
Bangkok,Thailand,THA,800,Bangkok,13.7563309,100.5017651
Bangui,Central African Republic,CAF,482,Bangui,4.3946735,18.5581899
Banjul,Gambia,GMB,420,Banjul,13.4548761,-16.5790323
Barcelona,Spain,ESP,230,Barcelona,41.3850639,2.1734035
Basrah,Iraq,IRQ,645,Basrah,30.5081033,47.7834888
Beijing,China,CHN,710,Beijing,39.904211,116.407395
Beirut,Lebanon,LBN,660,Beirut,33.8886289,35.4954794
Belfast,United Kingdom,GBR,200,Belfast,54.59728500000001,-5.93012
Belgrade,Serbia,SRB,NA,Belgrade,44.786568,20.4489216
Belize,Belize,BLZ,80,Belmopan,17.2510114,-88.7590201
Belmopan,Belize,BLZ,80,Belmopan,17.2510114,-88.7590201
Berlin,Germany,DEU,255,Berlin,52.52000659999999,13.404954
Bern,Switzerland,CHE,225,Bern,46.9479222,7.444608499999999
Bishkek,Kyrgyzstan,KGZ,703,Bishkek,42.8746212,74.5697617
Bogota,Colombia,COL,100,Bogota,4.710988599999999,-74.072092
Bonn,Germany,DEU,255,Bonn,50.73743,7.0982068
Brasilia,Brazil,BRA,140,Brasília,-15.7942287,-47.8821658
Bratislava,Slovakia,SVK,317,Bratislava,48.1458923,17.1071373
Brazzaville,Congo,COG,484,Brazzaville,-4.2633597,15.2428853
Bridgetown,Barbados,BRB,53,Bridgetown,13.1132219,-59.59880889999999
Brussels,Belgium,BEL,211,Brussels,50.8503396,4.3517103
Bucharest,Romania,ROU,360,Bucharest,44.4267674,26.1025384
Budapest,Hungary,HUN,310,Budapest,47.497912,19.040235
Buenosaires,Argentina,ARG,160,Buenos Aires,-34.6036844,-58.3815591
Bujumbura,Burundi,BDI,516,Bujumbura,-3.361378,29.3598782
Cairo,Egypt,EGY,651,Cairo,30.0444196,31.2357116
Calcutta,India,IND,750,Kolkata,22.572646,88.36389500000001
Canberra,Australia,AUS,900,Canberra,-35.2819998,149.1286843
Capetown,South Africa,ZAF,560,Cape Town,-33.9248685,18.4240553
Caracas,"Venezuela, Bolivarian Republic of",VEN,101,Caracas,10.4696404,-66.8037185
Casablanca,Morocco,MAR,600,Casablanca,33.5731104,-7.589843399999999
Chengdu,China,CHN,710,Chengdu,30.572269,104.066541
Chennai,India,IND,750,Chennai,13.0826802,80.2707184
Chiangmai,Thailand,THA,800,Chiang Mai,18.7060641,98.9817163
Chisinau,"Moldova, Republic of",MDA,359,Chisinau,47.0104529,28.8638103
Colombo,Sri Lanka,LKA,780,Colombo,6.9270786,79.861243
Conakry,Guinea,GIN,438,Conakry,9.641185499999999,-13.5784012
Copenhagen,Denmark,DNK,390,Copenhagen,55.6760968,12.5683371
Cotonou,Benin,BEN,434,Cotonou,6.3702928,2.3912362
Curacao,Curacao,CUW,NA,Willemstad,12.1224221,-68.8824233
Dakar,Senegal,SEN,433,Dakar,14.7645042,-17.3660286
Damascus,Syrian Arab Republic,SYR,652,Damascus,33.4934965,36.2847751
Daressalaam,"Tanzania, United Republic of",TZA,510,Dar es Salaam,-6.766305399999999,39.1959729
Dhahran,Saudi Arabia,SAU,670,Dhahran,26.2361248,50.0393017
Dhaka,Bangladesh,BGD,771,Dhaka,23.810332,90.4125181
Dili,Timor-Leste,TLS,860,Díli,-8.5568557,125.5603143
Djibouti,Djibouti,DJI,522,Djibouti,11.5720765,43.1456475
Doha,Qatar,QAT,694,Doha,25.2916097,51.5304368
Dubai,United Arab Emirates,ARE,696,Dubai,25.2048493,55.2707828
Dublin,Ireland,IRL,205,Dublin,53.3498053,-6.2603097
Durban,South Africa,ZAF,560,Durban,-29.85868039999999,31.0218404
Dushanbe,Tajikistan,TJK,702,Dushanbe,38.5597722,68.7870384
Dusseldorf,Germany,DEU,255,Düsseldorf,51.2277411,6.7734556
Eftobandarseribegawan,Brunei Darussalam,BRN,835,Bandar Seri Begawan,4.903052199999999,114.939821
Eftobrussels,Belgium,BEL,211,Brussels,50.8503396,4.3517103
