iso3,ccode,avg_effort,median_effort,bin
AFG,700,1.3282349251779224,0.6679497337222143,0-1.5    
AGO,540,2.6796506041519663,1.9391376008505985,2.6-4    
ALB,339,7.527622659081965,5.6788191063890245,6.5+
ARE,696,3.2812090686606625,1.2346523943409178,2.6-4    
ARG,160,9.492767681827335,0.8376971450255357,6.5+
ARM,371,6.604353453436471,6.232876712172945,6.5+
ATF,NA,NA,NA,NA
AUS,900,1.9798811308206383,1.1057389591708962,1.6-2.5    
AUT,305,1.8960518953756456,1.9114543537607458,1.6-2.5    
AZE,373,7.253089258392957,6.789755805847165,6.5+
BDI,516,1.0164910751950444,0.0,0-1.5    
BEL,211,1.9433932225808044,1.246603338724897,1.6-2.5    
BEN,434,5.611792661151489,4.035696015083918,4.1-6.5    
BFA,439,1.894605556802258,1.171180592007523,1.6-2.5    
BGD,771,4.960334741758341,0.7245622602398958,4.1-6.5    
BGR,355,3.585748663264251,1.7392752856393168,2.6-4    
BHS,31,2.240924261661194,1.6867562000031613,1.6-2.5    
BIH,346,3.205429715214368,1.5774180155590776,2.6-4    
BLR,370,9.78510508566252,10.021819476298614,6.5+
BLZ,80,6.829212938766072,6.667305297927179,6.5+
BOL,145,2.034868744415076,1.6880579804352343,1.6-2.5    
BRA,140,3.5328773847565738,2.618744844481805,2.6-4    
BRN,835,1.466451003364009,0.0,0-1.5    
BTN,760,NA,NA,NA
BWA,571,0.3528331173848631,0.0,0-1.5    
CAF,482,5.124991395545651,0.0,4.1-6.5    
CAN,20,3.778770286122825,1.7139612869381284,2.6-4    
CHE,225,0.9800374265392592,0.8551894806544595,0-1.5    
CHL,155,3.9320651481680233,1.5317990727886164,2.6-4    
CHN,710,0.3914638410660506,0.0,0-1.5    
CIV,437,NA,NA,NA
CMR,471,2.5948839684313283,1.982046284556067,2.6-4    
COD,490,2.088992742639761,0.0,1.6-2.5    
COG,484,4.761018463703343,1.36986301369863,4.1-6.5    
COL,100,1.29721043495304,0.0,0-1.5    
CRI,94,5.2201866979791545,2.338146127586661,4.1-6.5    
CUB,40,0.6478873446173847,0.0,0-1.5    
CYP,352,8.814510888762765,7.490120185858,6.5+
CZE,316,1.7216142596216553,1.7483390568814428,1.6-2.5    
DEU,255,0.86777918558288,0.2802443603610092,0-1.5    
DJI,522,1.996654595781267,1.2214049531834799,1.6-2.5    
DNK,390,1.0865374422106384,0.0,0-1.5    
DOM,42,6.0314517913991885,5.383367995231493,4.1-6.5    
