iso3,year,ccode,crim,crim_level
AFG,2001.0,700,0,No criminalization
AGO,2001.0,540,0,No criminalization
ALB,2001.0,339,2,Full criminalization   
ARE,2001.0,696,0,No criminalization
ARG,2001.0,160,0,No criminalization
ARM,2001.0,371,0,No criminalization
ATF,2001.0,NA,NA,No criminalization
AUS,2001.0,900,1,Partial criminalization    
AUT,2001.0,305,1,Partial criminalization    
AZE,2001.0,373,0,No criminalization
BDI,2001.0,516,0,No criminalization
BEL,2001.0,211,2,Full criminalization   
BEN,2001.0,434,0,No criminalization
BFA,2001.0,439,0,No criminalization
BGD,2001.0,771,1,Partial criminalization    
BGR,2001.0,355,0,No criminalization
BHS,2001.0,31,0,No criminalization
BIH,2001.0,346,0,No criminalization
BLR,2001.0,370,1,Partial criminalization    
BLZ,2001.0,80,0,No criminalization
BOL,2001.0,145,1,Partial criminalization    
BRA,2001.0,140,0,No criminalization
BRN,2001.0,835,NA,No criminalization
BTN,2001.0,760,0,No criminalization
BWA,2001.0,571,1,Partial criminalization    
CAF,2001.0,482,NA,No criminalization
CAN,2001.0,20,0,No criminalization
CHE,2001.0,225,1,Partial criminalization    
CHL,2001.0,155,0,No criminalization
CHN,2001.0,710,1,Partial criminalization    
CIV,2001.0,437,0,No criminalization
CMR,2001.0,471,0,No criminalization
COD,2001.0,490,0,No criminalization
COG,2001.0,484,0,No criminalization
COL,2001.0,100,0,No criminalization
CRI,2001.0,94,1,Partial criminalization    
CUB,2001.0,40,0,No criminalization
CYP,2001.0,352,1,Partial criminalization    
CZE,2001.0,316,2,Full criminalization   
DEU,2001.0,255,1,Partial criminalization    
DJI,2001.0,522,0,No criminalization
DNK,2001.0,390,0,No criminalization
DOM,2001.0,42,0,No criminalization
DZA,2001.0,615,0,No criminalization
ECU,2001.0,130,0,No criminalization
EGY,2001.0,651,0,No criminalization
ERI,2001.0,531,1,Partial criminalization    
ESH,2001.0,NA,NA,No criminalization
ESP,2001.0,230,1,Partial criminalization    
EST,2001.0,366,0,No criminalization
ETH,2001.0,530,0,No criminalization
FIN,2001.0,375,0,No criminalization
FJI,2001.0,950,0,No criminalization
FLK,2001.0,NA,NA,No criminalization
FRA,2001.0,220,0,No criminalization
GAB,2001.0,481,0,No criminalization
GBR,2001.0,200,0,No criminalization
GEO,2001.0,372,0,No criminalization
GHA,2001.0,452,0,No criminalization
GIN,2001.0,438,1,Partial criminalization    
GMB,2001.0,420,0,No criminalization
GNB,2001.0,404,0,No criminalization
GNQ,2001.0,411,0,No criminalization
GRC,2001.0,350,0,No criminalization
GTM,2001.0,90,0,No criminalization
GUY,2001.0,110,0,No criminalization
HND,2001.0,91,0,No criminalization
HRV,2001.0,344,1,Partial criminalization    
HTI,2001.0,41,0,No criminalization
HUN,2001.0,310,2,Full criminalization   
IDN,2001.0,850,1,Partial criminalization    
IND,2001.0,750,1,Partial criminalization    
IRL,2001.0,205,1,Partial criminalization    
IRN,2001.0,630,0,No criminalization
IRQ,2001.0,645,0,No criminalization
ISL,2001.0,395,0,No criminalization
ISR,2001.0,666,1,Partial criminalization    
ITA,2001.0,325,0,No criminalization
JAM,2001.0,51,0,No criminalization
JOR,2001.0,663,0,No criminalization
JPN,2001.0,740,0,No criminalization
KAZ,2001.0,705,0,No criminalization
KEN,2001.0,501,0,No criminalization
KGZ,2001.0,703,0,No criminalization
KHM,2001.0,811,1,Partial criminalization    
KOR,2001.0,732,0,No criminalization
KWT,2001.0,690,0,No criminalization
LAO,2001.0,812,0,No criminalization
LBN,2001.0,660,0,No criminalization
LBR,2001.0,450,0,No criminalization
LBY,2001.0,620,0,No criminalization
LKA,2001.0,780,2,Full criminalization   
LSO,2001.0,570,0,No criminalization
LTU,2001.0,368,1,Partial criminalization    
LUX,2001.0,212,0,No criminalization
LVA,2001.0,367,0,No criminalization
MAR,2001.0,600,0,No criminalization
MDA,2001.0,359,0,No criminalization
MDG,2001.0,580,0,No criminalization
MEX,2001.0,70,0,No criminalization
MKD,2001.0,343,0,No criminalization
MLI,2001.0,432,0,No criminalization
MMR,2001.0,775,0,No criminalization
MNE,2001.0,341,NA,No criminalization
MNG,2001.0,712,1,Partial criminalization    
MOZ,2001.0,541,0,No criminalization
MRT,2001.0,435,0,No criminalization
MWI,2001.0,553,0,No criminalization
MYS,2001.0,820,1,Partial criminalization    
NAM,2001.0,565,0,No criminalization
NCL,2001.0,NA,NA,No criminalization
NER,2001.0,436,0,No criminalization
NGA,2001.0,475,0,No criminalization
NIC,2001.0,93,0,No criminalization
NLD,2001.0,210,1,Partial criminalization    
NOR,2001.0,385,0,No criminalization
NPL,2001.0,790,1,Partial criminalization    
NZL,2001.0,920,0,No criminalization
OMN,2001.0,698,0,No criminalization
PAK,2001.0,770,0,No criminalization
PAN,2001.0,95,0,No criminalization
PER,2001.0,135,0,No criminalization
PHL,2001.0,840,0,No criminalization
PNG,2001.0,910,NA,No criminalization
POL,2001.0,290,1,Partial criminalization    
PRI,2001.0,NA,NA,No criminalization
PRK,2001.0,731,NA,No criminalization
PRT,2001.0,235,1,Partial criminalization    
PRY,2001.0,150,0,No criminalization
PSE,2001.0,NA,NA,No criminalization
QAT,2001.0,694,0,No criminalization
ROU,2001.0,360,0,No criminalization
RUS,2001.0,365,0,No criminalization
RWA,2001.0,517,0,No criminalization
SAU,2001.0,670,0,No criminalization
SDN,2001.0,625,0,No criminalization
SEN,2001.0,433,0,No criminalization
SLB,2001.0,940,NA,No criminalization
SLE,2001.0,451,0,No criminalization
SLV,2001.0,92,0,No criminalization
SOM,2001.0,520,NA,No criminalization
SOM,2001.0,520,NA,No criminalization
SRB,2001.0,NA,NA,No criminalization
SSD,2001.0,626,NA,No criminalization
SUR,2001.0,115,0,No criminalization
SVK,2001.0,317,0,No criminalization
SVN,2001.0,349,0,No criminalization
SWE,2001.0,380,0,No criminalization
SWZ,2001.0,572,0,No criminalization
SYR,2001.0,652,0,No criminalization
TCD,2001.0,483,0,No criminalization
TGO,2001.0,461,0,No criminalization
THA,2001.0,800,1,Partial criminalization    
TJK,2001.0,702,0,No criminalization
TKM,2001.0,701,0,No criminalization
TLS,2001.0,860,NA,No criminalization
TTO,2001.0,52,0,No criminalization
TUN,2001.0,616,NA,No criminalization
TUR,2001.0,640,0,No criminalization
TWN,2001.0,713,NA,No criminalization
TZA,2001.0,510,1,Partial criminalization    
UGA,2001.0,500,0,No criminalization
UKR,2001.0,369,1,Partial criminalization    
URY,2001.0,165,0,No criminalization
USA,2001.0,2,2,Full criminalization   
UZB,2001.0,704,0,No criminalization
VEN,2001.0,101,0,No criminalization
VNM,2001.0,816,1,Partial criminalization    
VUT,2001.0,935,NA,No criminalization
YEM,2001.0,679,1,Partial criminalization    
ZAF,2001.0,560,0,No criminalization
ZMB,2001.0,551,0,No criminalization
ZWE,2001.0,552,0,No criminalization
AFG,2014.0,700,NA,Full criminalization   
AGO,2014.0,540,2,Full criminalization   
ALB,2014.0,339,NA,Full criminalization   
ARE,2014.0,696,NA,Full criminalization   
ARG,2014.0,160,NA,Full criminalization   
ARM,2014.0,371,NA,Full criminalization   
ATF,2014.0,NA,NA,No criminalization
AUS,2014.0,900,NA,Full criminalization   
AUT,2014.0,305,NA,Full criminalization   
AZE,2014.0,373,NA,Full criminalization   
BDI,2014.0,516,1,Partial criminalization    
BEL,2014.0,211,NA,Full criminalization   
BEN,2014.0,434,1,Partial criminalization    
BFA,2014.0,439,NA,Full criminalization   
BGD,2014.0,771,2,Full criminalization   
BGR,2014.0,355,NA,Full criminalization   
BHS,2014.0,31,NA,Full criminalization   
BIH,2014.0,346,NA,Full criminalization   
BLR,2014.0,370,NA,Full criminalization   
BLZ,2014.0,80,2,Full criminalization   
BOL,2014.0,145,NA,Full criminalization   
BRA,2014.0,140,1,Partial criminalization    
BRN,2014.0,835,NA,No criminalization
BTN,2014.0,760,1,Partial criminalization    
BWA,2014.0,571,1,Partial criminalization    
CAF,2014.0,482,NA,Partial criminalization    
CAN,2014.0,20,NA,Full criminalization   
CHE,2014.0,225,NA,Full criminalization   
CHL,2014.0,155,NA,Full criminalization   
CHN,2014.0,710,1,Partial criminalization    
CIV,2014.0,437,0,No criminalization
CMR,2014.0,471,2,Full criminalization   
COD,2014.0,490,NA,Partial criminalization    
COG,2014.0,484,0,No criminalization
COL,2014.0,100,NA,Full criminalization   
CRI,2014.0,94,NA,Full criminalization   
CUB,2014.0,40,0,No criminalization
