iso3,ccode,start_year
AGO,540,2001.0
ALB,339,2001.0
ARE,696,2001.0
AUT,305,2001.0
BEL,211,2001.0
BEN,434,2001.0
BFA,439,2001.0
BGD,771,2001.0
BGR,355,2001.0
BIH,346,2001.0
BLR,370,2001.0
BRA,140,2001.0
CAN,20,2001.0
CHE,225,2001.0
CHN,710,2001.0
CIV,437,2001.0
CMR,471,2001.0
COD,490,2001.0
COL,100,2001.0
CRI,94,2001.0
CZE,316,2001.0
DEU,255,2001.0
DOM,42,2001.0
ESP,230,2001.0
ETH,530,2001.0
FRA,220,2001.0
GAB,481,2001.0
GBR,200,2001.0
GEO,372,2001.0
GHA,452,2001.0
GRC,350,2001.0
GTM,90,2001.0
HND,91,2001.0
HTI,41,2001.0
HUN,310,2001.0
IDN,850,2001.0
IND,750,2001.0
ISR,666,2001.0
ITA,325,2001.0
JPN,740,2001.0
KAZ,705,2001.0
KGZ,703,2001.0
KHM,811,2001.0
KOR,732,2001.0
LAO,812,2001.0
LBN,660,2001.0
LKA,780,2001.0
LTU,368,2001.0
LUX,212,2001.0
MAR,600,2001.0
MDA,359,2001.0
MEX,70,2001.0
MKD,343,2001.0
MLI,432,2001.0
MMR,775,2001.0
MYS,820,2001.0
NGA,475,2001.0
NLD,210,2001.0
NPL,790,2001.0
PAK,770,2001.0
PHL,840,2001.0
POL,290,2001.0
QAT,694,2001.0
ROU,360,2001.0
RUS,365,2001.0
SAU,670,2001.0
SDN,625,2001.0
SLE,451,2001.0
SLV,92,2001.0
SVN,349,2001.0
SWE,380,2001.0
TGO,461,2001.0
THA,800,2001.0
TUR,640,2001.0
UGA,500,2001.0
UKR,369,2001.0
USA,2,2001.0
VNM,816,2001.0
ZAF,560,2001.0
AFG,700,2002.0
ARM,371,2002.0
EST,366,2002.0
GNQ,411,2002.0
IRN,630,2002.0
LVA,367,2002.0
PRT,235,2002.0
SEN,433,2002.0
TJK,702,2002.0
TZA,510,2002.0
BDI,516,2003.0
BLZ,80,2003.0
BOL,145,2003.0
CUB,40,2003.0
DNK,390,2003.0
FIN,375,2003.0
GMB,420,2003.0
HRV,344,2003.0
JAM,51,2003.0
KEN,501,2003.0
KWT,690,2003.0
LBR,450,2003.0
MNE,341,2003.0
MOZ,541,2003.0
MWI,553,2003.0
NER,436,2003.0
NIC,93,2003.0
NOR,385,2003.0
PRK,731,2003.0
RWA,517,2003.0
SUR,115,2003.0
SVK,317,2003.0
TWN,713,2003.0
UZB,704,2003.0
VEN,101,2003.0
ZMB,551,2003.0
ZWE,552,2003.0
ARG,160,2004.0
AUS,900,2004.0
AZE,373,2004.0
CHL,155,2004.0
CYP,352,2004.0
ECU,130,2004.0
EGY,651,2004.0
GIN,438,2004.0
GUY,110,2004.0
MDG,580,2004.0
MRT,435,2004.0
NZL,920,2004.0
PAN,95,2004.0
PER,135,2004.0
PRY,150,2004.0
DZA,615,2005.0
LBY,620,2005.0
MNG,712,2005.0
OMN,698,2005.0
SYR,652,2005.0
TCD,483,2005.0
TLS,860,2005.0
URY,165,2005.0
YEM,679,2005.0
CAF,482,2006.0
DJI,522,2006.0
GNB,404,2006.0
IRL,205,2006.0
JOR,663,2006.0
TUN,616,2006.0
FJI,950,2007.0
FJI,950,2007.0
PNG,910,2007.0
PNG,910,2007.0
COG,484,2008.0
BHS,31,2009.0
BRN,835,2009.0
BWA,571,2009.0
ERI,531,2009.0
IRQ,645,2009.0
ISL,395,2009.0
LSO,570,2009.0
NAM,565,2009.0
SOM,520,2009.0
SWZ,572,2009.0
TKM,701,2009.0
TTO,52,2009.0
SLB,940,2011.0
SSD,626,2012.0
BTN,760,2013.0
ATF,NA,NA
ESH,NA,NA
FLK,NA,NA
NCL,NA,NA
PRI,NA,NA
PSE,NA,NA
SRB,NA,NA
VUT,935,NA
