"cowcode","ht_ngos"
700,5
540,1
339,7
696,5
160,5
371,6
900,15
305,10
373,4
516,2
211,15
434,4
439,2
771,17
355,9
692,2
31,1
346,6
370,5
145,3
140,19
53,1
482,2
20,42
225,22
155,4
710,1
437,2
471,8
490,2
484,2
100,6
581,14
94,3
352,1
316,3
255,17
54,1
390,7
42,6
615,2
130,5
651,9
230,16
366,6
530,1
375,6
220,12
987,3
200,53
372,12
452,18
438,2
420,5
350,14
90,9
91,1
41,6
310,1
850,20
750,91
205,7
630,1
645,6
395,3
666,8
325,19
51,2
663,6
740,10
705,8
501,15
703,4
811,21
946,1
732,13
690,2
812,3
660,10
450,7
620,1
56,1
780,5
570,3
368,4
212,4
367,2
600,2
221,1
359,13
70,10
343,2
432,2
338,2
775,4
341,1
712,5
541,2
435,2
590,2
553,4
820,5
475,54
93,3
210,17
385,9
790,22
920,11
770,30
95,1
135,5
840,28
290,5
731,1
150,3
694,2
360,14
365,16
517,1
433,3
830,3
451,1
92,2
520,2
115,1
317,4
349,3
380,9
652,1
461,5
800,23
702,2
955,1
52,1
640,3
713,5
510,4
500,9
369,11
165,1
2,230
704,6
101,1
816,13
990,1
679,2
560,26
551,2
552,2
