countryname,tier
Armenia,1
Australia,1
Austria ,1
The Bahamas,1
Belgium,1
Canada,1
Chile,1
Czech Republic,1
Denmark,1
Finland,1
France,1
Germany,1
Iceland,1
Ireland,1
Israel,1
Italy,1
"Korea, South",1
Luxembourg,1
Macedonia,1
Netherlands,1
New Zealand,1
Norway,1
Poland,1
Portugal,1
Slovakia,1
Spain,1
Sweden,1
Switzerland,1
Taiwan,1
United Kingdom,1
Afghanistan,2
Albania,2
Angola,2
Argentina,2
Aruba,2
Azerbaijan,2
Bahrain,2
Bangladesh,2
Barbados,2
Benin,2
Bhutan,2
Bosnia & Herzegovina,2
Brazil,2
Brunei,2
Cabo Verde,2
Cameroon,2
Chad,2
Colombia,2
Cote d'Ivoire,2
Croatia,2
Curaçao,2
Cyprus,2
Dominican Republic,2
Ecuador,2
El Salvador,2
Estonia,2
Ethiopia,2
Fiji,2
Georgia,2
Guatemala,2
Greece,2
Honduras,2
Hong Kong,2
Hungary,2
India,2
Indonesia,2
Iraq,2
Japan,2
Jordan,2
Kazakhstan,2
Kenya,2
Kiribati,2
Kosovo,2
Kyrgyzstan,2
Latvia,2
Liberia,2
Lithuania,2
Macau,2
Madagascar,2
Malawi,2
Malta,2
Mexico,2
Micronesia,2
Moldova,2
Mongolia,2
Montenegro,2
Morocco,2
Mozambique,2
Nepal,2
Nicaragua,2
Niger,2
Nigeria,2
Oman,2
Palau,2
Panama,2
Paraguay,2
Peru,2
Philippines,2
Romania,2
Rwanda,2
St. Lucia,2
St. Maarten,2
Senegal,2
Serbia,2
Seychelles,2
Sierra Leone,2
Singapore,2
Slovenia,2
South Africa,2
Swaziland,2
Tajikistan,2
Togo,2
Tonga,2
Turkey,2
Uganda,2
United Arab Emirates,2
Uruguay,2
Vietnam,2
Zambia,2
Antigua & Barbuda,2.5
Bolivia,2.5
Botswana,2.5
Bulgaria,2.5
Burkina Faso,2.5
Burma,2.5
Cambodia,2.5
China (PRC),2.5
"Congo, Democratic Rep. of",2.5
"Congo, Republic of",2.5
Costa Rica,2.5
Cuba,2.5
Djibouti,2.5
Egypt,2.5
Gabon,2.5
Ghana,2.5
Guinea,2.5
Guyana,2.5
Haiti,2.5
Jamaica,2.5
Laos,2.5
Lebanon,2.5
Lesotho,2.5
Malaysia,2.5
Maldives,2.5
Mali,2.5
Mauritius,2.5
Namibia,2.5
Pakistan,2.5
Papua New Guinea,2.5
Qatar,2.5
Saudi Arabia,2.5
Sri Lanka,2.5
St. Vincent & The Grenadines,2.5
Solomon Islands,2.5
Sudan,2.5
Suriname,2.5
Tanzania,2.5
Timor-Leste,2.5
Trinidad & Tobago,2.5
Tunisia,2.5
Turkmenistan,2.5
Ukraine,2.5
Uzbekistan ,2.5
Algeria,3
Belarus,3
Belize,3
Burundi,3
Central African Republic,3
Comoros,3
Equatorial Guinea,3
Eritrea,3
The Gambia,3
Guinea-Bissau,3
Iran,3
"Korea, North",3
Kuwait,3
Libya,3
Marshall Islands,3
Mauritania,3
Russia,3
South Sudan,3
Syria,3
Thailand,3
Yemen,3
Venezuela,3
Zimbabwe,3
Somalia,666
