"recommendation","year","progress","included_in_report"
"Create Comprehensive Anti-TIP Legislation ","2001",NA,1
"Create Comprehensive Anti-TIP Legislation ","2002",NA,NA
"Create Comprehensive Anti-TIP Legislation ","2003","some",NA
"Create Comprehensive Anti-TIP Legislation ","2004","some",NA
"Create Comprehensive Anti-TIP Legislation ","2005","some",1
"Create Comprehensive Anti-TIP Legislation ","2006","a lot",NA
"Create Comprehensive Anti-TIP Legislation ","2007","complete",NA
"Create Comprehensive Anti-TIP Legislation ","2008",NA,NA
"Create Comprehensive Anti-TIP Legislation ","2009",NA,NA
"Create Comprehensive Anti-TIP Legislation ","2010",NA,NA
"Create Comprehensive Anti-TIP Legislation ","2011",NA,NA
"Create Comprehensive Anti-TIP Legislation ","2012",NA,NA
"Create Comprehensive Anti-TIP Legislation ","2013",NA,NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2001",NA,NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2002",NA,1
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2003","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2004","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2005","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2006","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2007","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2008","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2009","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2010","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2011","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2012","some",NA
"Increase Efforts to Build Shelters and Other Services for Trafficking Victims ","2013","some",NA
"Increase Sponsorship of Prevention Efforts ","2001",NA,NA
"Increase Sponsorship of Prevention Efforts ","2002",NA,1
"Increase Sponsorship of Prevention Efforts ","2003","some",NA
"Increase Sponsorship of Prevention Efforts ","2004","some",NA
"Increase Sponsorship of Prevention Efforts ","2005","a lot",NA
"Increase Sponsorship of Prevention Efforts ","2006","some",NA
"Increase Sponsorship of Prevention Efforts ","2007","a lot",NA
"Increase Sponsorship of Prevention Efforts ","2008","a lot",NA
"Increase Sponsorship of Prevention Efforts ","2009","none",NA
"Increase Sponsorship of Prevention Efforts ","2010","some",NA
"Increase Sponsorship of Prevention Efforts ","2011","some",NA
"Increase Sponsorship of Prevention Efforts ","2012","some",NA
"Increase Sponsorship of Prevention Efforts ","2013","some",NA
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2001",NA,NA
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2002",NA,NA
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2003","none",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2004","none",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2005","none",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2006","none",NA
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2007","some",NA
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2008","some",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2009","none",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2010","none",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2011","none",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2012","none",1
"Reduce Traffic-Related Public Corruption, and Prosecute and Convict Corrupt Officials ","2013","none",1
"Increase Public Awareness of TIP ","2001",NA,NA
"Increase Public Awareness of TIP ","2002",NA,NA
"Increase Public Awareness of TIP ","2003","a lot",1
"Increase Public Awareness of TIP ","2004","a lot",NA
"Increase Public Awareness of TIP ","2005","some",NA
"Increase Public Awareness of TIP ","2006","some",NA
"Increase Public Awareness of TIP ","2007","some",NA
"Increase Public Awareness of TIP ","2008","some",NA
"Increase Public Awareness of TIP ","2009","some",NA
"Increase Public Awareness of TIP ","2010","a lot",1
"Increase Public Awareness of TIP ","2011","some",NA
"Increase Public Awareness of TIP ","2012","some",NA
"Increase Public Awareness of TIP ","2013","none mentioned",1
"Educate Public Officials about TIP ","2001",NA,NA
"Educate Public Officials about TIP ","2002",NA,NA
"Educate Public Officials about TIP ","2003","some",1
"Educate Public Officials about TIP ","2004","some",NA
"Educate Public Officials about TIP ","2005","none",NA
"Educate Public Officials about TIP ","2006","some",NA
"Educate Public Officials about TIP ","2007","some",NA
"Educate Public Officials about TIP ","2008","some",NA
"Educate Public Officials about TIP ","2009","some",NA
"Educate Public Officials about TIP ","2010","some",NA
"Educate Public Officials about TIP ","2011","some",NA
"Educate Public Officials about TIP ","2012","some",NA
"Educate Public Officials about TIP ","2013","some",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2001",NA,NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2002",NA,NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2003","none",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2004","a lot",1
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2005","none",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2006","a lot",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2007","a lot",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2008","some",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2009","some",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2010","some",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2011","none",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2012","none",NA
"Increase Law Enforcement Efforts to Catch Traffickers and Rescue Victims ","2013","some",NA
"Increase Efforts to Combat Internal Trafficking ","2001",NA,NA
"Increase Efforts to Combat Internal Trafficking ","2002",NA,NA
"Increase Efforts to Combat Internal Trafficking ","2003",NA,NA
"Increase Efforts to Combat Internal Trafficking ","2004",NA,1
"Increase Efforts to Combat Internal Trafficking ","2005","none",NA
"Increase Efforts to Combat Internal Trafficking ","2006","some",NA
"Increase Efforts to Combat Internal Trafficking ","2007","a lot",NA
"Increase Efforts to Combat Internal Trafficking ","2008","some",1
"Increase Efforts to Combat Internal Trafficking ","2009","some",NA
"Increase Efforts to Combat Internal Trafficking ","2010","some",NA
"Increase Efforts to Combat Internal Trafficking ","2011","none",NA
"Increase Efforts to Combat Internal Trafficking ","2012","none",NA
"Increase Efforts to Combat Internal Trafficking ","2013","some",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2001",NA,NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2002",NA,NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2003",NA,NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2004",NA,NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2005","none",1
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2006","none",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2007","none",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2008","none",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2009","some",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2010","some",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2011","some",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2012","a lot",NA
"Recognize and Take Steps to Eliminate Debt Bondage for Migrant Workers ","2013","some",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2001",NA,NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2002",NA,NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2003","none",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2004",NA,NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2005","none",1
"Improve a Weak Judiciary to Prosecute Traffickers ","2006","some",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2007","a lot",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2008","some",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2009","none",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2010","none",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2011","none",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2012","none",NA
"Improve a Weak Judiciary to Prosecute Traffickers ","2013","none",NA
"Address Children in Forced Domestic Servitude ","2001",NA,NA
"Address Children in Forced Domestic Servitude ","2002",NA,NA
"Address Children in Forced Domestic Servitude ","2003",NA,NA
"Address Children in Forced Domestic Servitude ","2004","none",NA
"Address Children in Forced Domestic Servitude ","2005","none",NA
"Address Children in Forced Domestic Servitude ","2006","some",1
"Address Children in Forced Domestic Servitude ","2007","a lot",NA
"Address Children in Forced Domestic Servitude ","2008","some",NA
"Address Children in Forced Domestic Servitude ","2009","some",NA
"Address Children in Forced Domestic Servitude ","2010","some",NA
"Address Children in Forced Domestic Servitude ","2011","some",1
"Address Children in Forced Domestic Servitude ","2012","none mentioned",NA
"Address Children in Forced Domestic Servitude ","2013","none mentioned",NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2001",NA,NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2002",NA,NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2003",NA,NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2004",NA,NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2005","none",NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2006","some",NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2007","a lot",1
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2008","none",NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2009","some",1
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2010","some",1
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2011","a lot",1
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2012","some",NA
"Increase the Budget for Prevention and Victim Protection Rather than Relying on International Donors ","2013","some",NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2001",NA,NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2002",NA,NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2003",NA,NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2004",NA,NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2005",NA,NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2006","none",NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2007","none",NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2008","some",1
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2009","none",1
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2010","a lot",NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2011","none",NA
"Significantly Improve Record of Prosecutions, Convictions, and Sentences for Labor Trafficking ","2012","none",NA
