"country_name","region"
"Algeria","Middle East and North Africa"
"Botswana","Sub-Saharan Africa"
"Bahamas","North and Central America and the Caribbean"
"Argentina","South America"
"Albania","Western and Central Europe"
"Armenia","Eastern Europe and Central Asia"
"Australia","East Asia and the Pacific"
"Bangladesh    ","South Asia"
"Pakistan","South Asia"
"Nepal","South Asia"
"Maldives","South Asia"
"India","South Asia"
"Bahrain","Middle East and North Africa"
"Burkina Faso","Sub-Saharan Africa"
"Barbados","North and Central America and the Caribbean"
"Bolivia","South America"
"Austria","Western and Central Europe"
"Azerbaijan","Eastern Europe and Central Asia"
"Brunei","East Asia and the Pacific"
"Lebanon","Middle East and North Africa"
"Comoros","Sub-Saharan Africa"
"Dominican Republic","North and Central America and the Caribbean"
"Ecuador","South America"
"Russian Federation","Eastern Europe and Central Asia"
"Myanmar","East Asia and the Pacific"
"Sri Lanka","South Asia"
"Morocco","Middle East and North Africa"
"Democratic Republic of the Congo","Sub-Saharan Africa"
"El Salvador","North and Central America and the Caribbean"
"Guyana","South America"
"New Zealand","East Asia and the Pacific"
"Qatar","Middle East and North Africa"
"Gabon","Sub-Saharan Africa"
"Gambia","Sub-Saharan Africa"
"Lesotho   ","Sub-Saharan Africa"
"Guinea-Bissau","Sub-Saharan Africa"
"Kenya","Sub-Saharan Africa"
"Namibia","Sub-Saharan Africa"
"Mozambique","Sub-Saharan Africa"
"Mauritania","Sub-Saharan Africa"
"Tajikistan","Eastern Europe and Central Asia"
"Nigeria","Sub-Saharan Africa"
"Republic of Congo","Sub-Saharan Africa"
"Grenada","North and Central America and the Caribbean"
"Paraguay","South America"
"Ukraine","Eastern Europe and Central Asia"
"Uzbekistan","Eastern Europe and Central Asia"
"Philippines","East Asia and the Pacific"
"South Korea","East Asia and the Pacific"
"Samoa","East Asia and the Pacific"
"Thailand","East Asia and the Pacific"
"Viet Nam","East Asia and the Pacific"
"Tunisia","Middle East and North Africa"
"Guatemala","North and Central America and the Caribbean"
"Peru","South America"
"United Arab Emirates","Middle East and North Africa"
"Haiti","North and Central America and the Caribbean"
"Uruguay","South America"
"Finland","Western and Central Europe"
"Yemen","Middle East and North Africa"
"Honduras","North and Central America and the Caribbean"
"Venezuela","South America"
"Jamaica","North and Central America and the Caribbean"
"France","Western and Central Europe"
"Mexico","North and Central America and the Caribbean"
"Nicaragua","North and Central America and the Caribbean"
"Panama","North and Central America and the Caribbean"
"St. Vincent and Grenadines","North and Central America and the Caribbean"
"Trinidad and Tobago","North and Central America and the Caribbean"
"Germany","Western and Central Europe"
"Greece","Western and Central Europe"
"Hungary","Western and Central Europe"
"Ireland","Western and Central Europe"
"Italy","Western and Central Europe"
"Latvia","Western and Central Europe"
"Rwanda","Sub-Saharan Africa"
"Senegal","Sub-Saharan Africa"
"United States of America","North and Central America and the Caribbean"
"Lithuania","Western and Central Europe"
"Seychelles","Sub-Saharan Africa"
"Montenegro","Western and Central Europe"
"Sierra Leone","Sub-Saharan Africa"
"Netherlands","Western and Central Europe"
"South Africa","Sub-Saharan Africa"
"Norway","Western and Central Europe"
"Swaziland","Sub-Saharan Africa"
"Poland","Western and Central Europe"
"Togo","Sub-Saharan Africa"
"Portugal","Western and Central Europe"
"Uganda","Sub-Saharan Africa"
"Romania","Western and Central Europe"
"Tanzania","Sub-Saharan Africa"
"Serbia","Western and Central Europe"
"Zimbabwe","Sub-Saharan Africa"
"Slovakia","Western and Central Europe"
"Malta","Western and Central Europe"
"Slovenia","Western and Central Europe"
"Spain","Western and Central Europe"
"Sweden","Western and Central Europe"
"Switzerland","Western and Central Europe"
"Macedonia","Western and Central Europe"
"Turkey","Western and Central Europe"
"United Kingdom","Western and Central Europe"
"Egypt","Middle East and North Africa"
"Israel","Middle East and North Africa"
"Jordan","Middle East and North Africa"
"Cameroon","Sub-Saharan Africa"
"Cabo Verde","Sub-Saharan Africa"
"Central African Republic","Sub-Saharan Africa"
"Canada","North and Central America and the Caribbean"
"Costa Rica","North and Central America and the Caribbean"
"Cuba","North and Central America and the Caribbean"
"Brazil","South America"
"Chile","South America"
"Colombia","South America"
"Bosnia and Herzegovina","Western and Central Europe"
"Bulgaria","Western and Central Europe"
"Croatia","Western and Central Europe"
"Cyprus","Western and Central Europe"
"Czech Republic","Western and Central Europe"
"Denmark","Western and Central Europe"
"Estonia","Western and Central Europe"
"Belarus","Eastern Europe and Central Asia"
"Kazakhstan","Eastern Europe and Central Asia"
"Moldova","Eastern Europe and Central Asia"
"China","East Asia and the Pacific"
"Japan","East Asia and the Pacific"
"Malaysia","East Asia and the Pacific"
