bit.partner,sig.date,start.date,sig.year,start.year,bit.partner.cc,bit.partner.iso
Albania,1995-01-11T00:00:00Z,1998-01-04T00:00:00Z,1995,1998,339,ALB
Argentina,1991-11-14T00:00:00Z,1994-10-20T00:00:00Z,1991,1994,160,ARG
Armenia,1992-09-23T00:00:00Z,1996-03-29T00:00:00Z,1992,1996,371,ARM
Azerbaijan,1997-08-01T00:00:00Z,2001-08-02T00:00:00Z,1997,2001,373,AZE
Bahrain,1999-09-29T00:00:00Z,2001-05-30T00:00:00Z,1999,2001,692,BHR
Bangladesh,1986-03-12T00:00:00Z,1989-07-25T00:00:00Z,1986,1989,771,BGD
Belarus,1994-01-15T00:00:00Z,NA,1994,NA,370,BLR
"Bolivia, Plurinational State of",1998-04-17T00:00:00Z,2001-06-06T00:00:00Z,1998,2001,145,BOL
Bulgaria,1992-09-23T00:00:00Z,1994-06-02T00:00:00Z,1992,1994,355,BGR
Cameroon,1986-02-26T00:00:00Z,1989-04-06T00:00:00Z,1986,1989,471,CMR
"Congo, the Democratic Republic of the",1984-08-03T00:00:00Z,1989-07-28T00:00:00Z,1984,1989,490,COD
Congo,1990-02-12T00:00:00Z,1994-08-13T00:00:00Z,1990,1994,484,COG
Croatia,1996-07-13T00:00:00Z,2001-06-20T00:00:00Z,1996,2001,344,HRV
Czech Republic,1991-10-22T00:00:00Z,1992-12-19T00:00:00Z,1991,1992,316,CZE
Czech Republic,2003-12-10T00:00:00Z,2004-08-10T00:00:00Z,2003,2004,316,CZE
Ecuador,1993-08-27T00:00:00Z,1997-05-11T00:00:00Z,1993,1997,130,ECU
Egypt,1982-09-29T00:00:00Z,1992-06-27T00:00:00Z,1982,1992,651,EGY
Egypt,1986-03-11T00:00:00Z,NA,1986,NA,651,EGY
El Salvador,1999-03-10T00:00:00Z,NA,1999,NA,92,SLV
Estonia,2003-10-24T00:00:00Z,2004-08-10T00:00:00Z,2003,2004,366,EST
Estonia,1994-04-19T00:00:00Z,1997-02-16T00:00:00Z,1994,1997,366,EST
Georgia,1994-03-07T00:00:00Z,1997-08-17T00:00:00Z,1994,1997,372,GEO
Grenada,1986-05-02T00:00:00Z,1989-03-03T00:00:00Z,1986,1989,55,GRD
Haiti,1983-12-13T00:00:00Z,NA,1983,NA,41,HTI
Honduras,1995-07-01T00:00:00Z,2001-07-11T00:00:00Z,1995,2001,91,HND
Jamaica,1994-02-04T00:00:00Z,1997-03-07T00:00:00Z,1994,1997,51,JAM
Jordan,1997-07-02T00:00:00Z,2003-06-13T00:00:00Z,1997,2003,663,JOR
Kazakhstan,1992-05-19T00:00:00Z,1994-01-12T00:00:00Z,1992,1994,705,KAZ
Kyrgyzstan,1993-01-19T00:00:00Z,1994-01-12T00:00:00Z,1993,1994,703,KGZ
Latvia,2003-09-22T00:00:00Z,2004-07-14T00:00:00Z,2003,2004,367,LVA
Latvia,1995-01-13T00:00:00Z,1996-12-26T00:00:00Z,1995,1996,367,LVA
Lithuania,1998-01-14T00:00:00Z,2001-11-22T00:00:00Z,1998,2001,368,LTU
Malta,1966-11-16T00:00:00Z,1967-01-26T00:00:00Z,1966,1967,338,MLT
"Moldova, Republic of",1993-04-21T00:00:00Z,1994-11-25T00:00:00Z,1993,1994,359,MDA
Mongolia,1994-10-06T00:00:00Z,1997-01-01T00:00:00Z,1994,1997,712,MNG
Morocco,1985-07-22T00:00:00Z,1991-05-29T00:00:00Z,1985,1991,600,MAR
Mozambique,1998-12-01T00:00:00Z,2005-03-03T00:00:00Z,1998,2005,541,MOZ
Nicaragua,1995-07-01T00:00:00Z,1996-08-23T00:00:00Z,1995,1996,93,NIC
Panama,1982-10-27T00:00:00Z,1991-05-30T00:00:00Z,1982,1991,95,PAN
Panama,2000-06-01T00:00:00Z,2001-05-14T00:00:00Z,2000,2001,95,PAN
Paraguay,1992-09-24T00:00:00Z,1993-05-19T00:00:00Z,1992,1993,150,PRY
Poland,1990-03-21T00:00:00Z,1994-08-06T00:00:00Z,1990,1994,290,POL
Poland,2004-01-12T00:00:00Z,2004-05-01T00:00:00Z,2004,2004,290,POL
Romania,1992-05-28T00:00:00Z,1994-01-15T00:00:00Z,1992,1994,360,ROU
Russian Federation,1992-06-17T00:00:00Z,NA,1992,NA,365,RUS
Rwanda,2008-02-19T00:00:00Z,2012-01-01T00:00:00Z,2008,2012,517,RWA
Senegal,1983-12-06T00:00:00Z,1990-10-25T00:00:00Z,1983,1990,433,SEN
Serbia,2001-08-21T00:00:00Z,2001-11-30T00:00:00Z,2001,2001,555,SRB
Slovakia,2003-09-22T00:00:00Z,2004-05-01T00:00:00Z,2003,2004,317,SVK
Slovakia,1991-10-22T00:00:00Z,1992-12-19T00:00:00Z,1991,1992,317,SVK
Sri Lanka,1991-09-20T00:00:00Z,1993-05-01T00:00:00Z,1991,1993,780,LKA
Trinidad and Tobago,1994-09-26T00:00:00Z,1996-12-26T00:00:00Z,1994,1996,52,TTO
Tunisia,1990-05-15T00:00:00Z,1993-02-07T00:00:00Z,1990,1993,616,TUN
Turkey,1985-12-03T00:00:00Z,1990-05-18T00:00:00Z,1985,1990,640,TUR
Ukraine,1994-03-04T00:00:00Z,1996-11-16T00:00:00Z,1994,1996,369,UKR
Uruguay,2005-11-04T00:00:00Z,2006-11-01T00:00:00Z,2005,2006,165,URY
Uzbekistan,1994-12-16T00:00:00Z,NA,1994,NA,704,UZB
"Congo, the Democratic Republic of the",1984-08-03T00:00:00Z,1989-07-28T00:00:00Z,1984,1989,490,COD
