region,country,type_of_program,funding_agency,project_title,recipient,subrecipient,description
Global,NA,Prevention,"Dept. of State, G/TIP",Translation and Distribution of Trafficking in Persons Public Service Announcements,UNODCCP,,"Assistance will be used by UNODCCP to translate and distribute the UN Public Service Announcements on Trafficking into eight languages (Russian, Spanish, Portuguese, Hausa, Swahili, Chinese, French, and German)."
Global,NA,Prevention,"Dept. of State, G/TIP",Trafficking in Persons Public Service Announcement – Child Trafficking/Labor,UNODCCP,,"Assistance will be used to produce, translate, and distribute a new UN Public Service Announcement on child trafficking/labor."
Global,NA,"Prevention, Protection","USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",Support to USAID Anti-Trafficking Activities,Development Alternatives Inc. (DAI),,"Technical assistance for USAID operating units for anti-trafficking assessments, activity design and evaluation."
Africa,Regional,"Protection, Prosecution","Dept. of State, G/TIP",Implementing the ECOWAS Plan of Action against Trafficking in Persons,ECOWAS through UNODCCP/CICP,,"This one-year project will assist the ECOWAS Secretariat in Abuja, Nigeria with implementation of select components of the ECOWAS Regional Plan of Action against Trafficking. The UNODCCP Office in Nigeria and the regional UNODCCP office in Dakar will share responsibilities to harmonize legislation throughout the region that is in line with the UN Transnational Organized Crime Convention and Protocols."
Africa,Regional,"Prevention, Protection","USAID, Bureau for Africa",Sustainable Tree Crops Program,ILO/IPEC,,"The Sustainable Tree Crops Program, a public-private partnership among USAID, the U.S. Department of Labor, West African Governments, the global chocolate industry, and the ILO is designing and implementing seven pilot projects and a regional initiative to address exploitative child labor in five West African nations: Cote d’Ivoire, Guinea, Ghana, Nigeria and Cameroon."
Africa,Regional,Prevention,"USAID, Bureau for Africa",Anti-trafficking conference and follow-on activities,"IOM, ILO, UNICEF",,"A regional anti-trafficking stakeholders' conference for civil society groups, USG agencies, regional and international organizations, regional governments, and other donors will build on the Department of State's December 2001 meeting in Abuja, Nigeria ($150,000). Follow-on activities will also be supported ($225,000)."
Africa,Benin,Prevention,"USAID, Bureau for Africa",Child Trafficking,UNICEF; Ministry of Family and Children (Benin),,"The USAID Mission in Benin is working with the Ministry of Family Protection, UNICEF and NGOs to increase public awareness about the dangers of child trafficking. These efforts will result in a documentary film on child trafficking, nationwide town meetings and development of community charters for child protection."
Africa,Burkina Faso,"Protection, Prosecution","Dept. of State, G/TIP",Training Agents from Minor and Vice Brigades and Police in Trafficking Interdiction,Government of Burkina Faso/NGO,,Indigenous NGO representatives will provide specific anti-trafficking training so that law enforcement personnel will learn about the networks/circuits used by traffickers and receive instruction in law enforcement techniques. This project will include a train-the-trainer component.
Africa,Ethiopia,Prevention,"Dept. of State, PRM",Mitigating HIV/AIDS and Trafficking in Persons,IOM,,"This one-year project will assist the Ethiopian Government in its efforts to fight against HIV/AIDS and to prevent trafficking in persons from and within the country. A program for all school districts will educate students about HIV/AIDS and the dangers of trafficking in persons through cartoon booklets, posters, and leaflets. Sustainability will be ensured by training teachers to focus on these subjects and use the materials."
Africa,Ethiopia,"Prevention, Prosecution","USAID, Bureau for Africa",Ethiopia -- trafficking prevention,Save the Children; PACT; Pathfinder International; IOM; Family Health International,,The USAID Mission in Ethiopia is assisting the government with an extensive survey of the magnitude of the trafficking problem that will provide a basis for future anti-trafficking interventions. USAID will support the IOM's public awareness campaign and partner with NGOs to identify key areas where the government can improve social protection for victims. Government employment centers will include information on the dangers of trafficking for women who come to the centers seeking employment abroad.
