region,country,type_of_program,funding_agency,recipient,project_title,description,amount
Global,Global: IOM Geneva HQ,Prevention,USDOS/G/TIP,IOM,Global Counter-Trafficking Database,"Global Counter-Trafficking Database: To expand the IOM Counter-Trafficking Module (CTM) Database developed for pilot implementation in the Balkan Region into a global database for management of case information gathered from all IOM's Counter-Trafficking Return and Reintegration programs world-wide. Data of country databases will be centralized in IOM Headquarters in Geneva, enabling effective coordination between IOM missions and follow-up activities, tracking, analysis of causes, trends of trafficking as well as monitoring and evaluation for effectiveness.","$407,450"
Global,"Australia, Cyprus, Panama, Peru, Argentina, Azerbaijan, and Singapore",Prevention,USDOS/G/TIP,The Johns Hopkins University (School for Advanced International Studies),"Improving Methodology for Gathering Trafficking Information, Particularly on Counting Victims.","This research project is related to improving our annual Trafficking in Persons Report and will help us gather information on the scope and magnitude of trafficking, including estimates on the number of victims, in seven countries (Australia, Cyprus, Panama, Peru, Argentina, Azerbaijan, and Singapore) that were not included in our 2003 Trafficking in Persons report but for which we believe these countries have a significant problem. We anticipate the contract recipient traveling to these selected countries to meet with government officials, NGOs and IOs to determine the magnitude of the trafficking problem as well as provide any recommendations on how we can improve our information collection process.","$353,176"
Global,Global,Prevention,USDOS/G/TIP,University of Rhode Island,Compilation of Best Practices by Governments and NGOs to Address The Demand Side of Sex Trafficking and Prostitution.,"This research project will focus on an area where there has been little attention but nonetheless is critical in addressing sex trafficking and prostitution. These two deplorable crimes would not thrive if not for demand by customers. The contract recipient will compile information on best practices by Governments and NGOs overseas and nationally to address the demand side of sex trafficking and prostitution. The estimated cost of the study is $46,523.","$49,970"
Global,Global,"Prevention, Protection, and Prosecution",USDOS/G/TIP,Shared Hope International,Next Steps to Pathbreaking Strategies in the Global Fight Against Trafficking,"This project follows up on the 2003 US conference “Pathbreaking Strategies in the Global Fight Against Sex Trafficking” by presenting six regional conferences meant to bring together service providers and government officials for increased efforts in the areas of prevention, protection, and prosecution.","$500,000"
Global,"Cambodia, Costa Rica, Thailand, Brazil and the Dominican Republic","Prevention, Protection, and Prosecution",USDOS/G/TIP,World Vision through UNIAP,Sex Tourism Prevention Program,"This project will focus on addressing the demand for child prostitutes abroad by implementing a targeted information campaign (airports, billboards, hotels abroad, etc.) at international destination points to deter U.S. citizens from participation in sex tourism. Possible target countries are Cambodia, Costa Rica, Thailand, Brazil and the Dominican Republic. Department of Homeland Security’s Customs office is considering funding the other part of the campaign at points of departure in the U.S.","$500,251"
Global,Burma (Tier 3),"Prevention, Protection",USDOS/ G/TIP,World Vision,Public Awareness Campaign,This two-year project will work to build capacity of civil society to assist returning victims and want those vulnerable to trafficking.,"$100,135"
Global,Worldwide,"Prevention, Protection",USDOS/PRM,IOM,"Prevention, protection, assistance to victims",Develop training modules for government officials and NGOs.,"$250,000"
Global,Regional: Vatican (Tier 1),"Prevention, Protection",USDOS/PRM,IOM with the UISG: International Union of Superiors General; USMI: Union of Major Superiors of Italy; and International Catholic Migration Commission/Fondazione Migrantes (Rome),Training in Rome of Trainers for Religious Personnel,"This project builds on the outcomes of the International Conference “21st Century Slavery - The Human Rights Dimension to Trafficking in Human Beings” (Rome, 15-16 May 2002), and aimed at developing and testing a training module for religious personnel from various parts of the world dealing/to deal with social prevention of trafficking and assistance to victims. In particular, the project targets women and children; developing awareness raising material; and strengthening an anti-trafficking transnational network.","$60,000"
Global,Global,"Prevention, Protection","USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development (EGAT/WID)",Development Alternatives Inc. (DAI),Support to USAID Anti-Trafficking Activities,"Technical assistance for USAID operating units for anti-trafficking assessments, activity design and evaluation.","$400,000"
Global,"Africa, Latin America and Asia (Burundi, Republic of Congo, Democratic Republic of Congo, Rwanda, Colombia, Philippines, Sri Lanka)","Prevention, Protection",USDOL,ILO-IPEC,Global Child Soldiers Project,"This project aims to contribute to the reduction of the incidence of children serving in armies and/or in armed groups, by developing an enabling environment in each country, facilitating the prevention, withdrawal and subsequent reintegration into society of children involved in armed conflict. The project will target former child soldiers and other war-affected youth, with a special emphasis on girls. Trafficking of children for the purposes of serving in armies and/or armed groups will be treated as a crosscutting issue in the project.","$7,000,000"
Africa,Benin (Tier 1),"Prevention, Protection, and Prosecution",USDOS/G/TIP,"Terre des Hommes, Catholic Archdiocese of Cotonou, Government of Benin’s Minor’s Brigade through UNICEF",Project Protection – Reducing Child Trafficking in Benin,"This project will create a national system of statistical collection and analysis of trafficked and abandoned children; prepare and distribute media materials about child trafficking (TV and radio announcements, banners, pamphlets); purchase projectors and presentation equipment for use in public education training; acquire one 4x4 vehicle for use by the Archdiocese for transporting minors from across Benin to their two shelters; assist in repatriation, and provide assistance to judicial authorities. UNICEF will work with the government to pass legislation that conforms to international conventions and resolutions on trafficking.","$346,500"
Africa,Benin (Tier 1),Prevention,"USAID, Bureau for Africa",UNICEF/Ministry of Family and Children,Benin-Child Trafficking,"The USAID Mission in Benin is working with the Ministry of Family Protection, UNICEF and NGOs to increase public awareness about the dangers of child trafficking. These funds will contribute to the intensification of the ongoing activities (health/education/etc) to improve legal protection of children.","$300,000"
Africa,Burkina Faso (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,Research and Action Group for the Grass Roots Development of Burkinabe Women (GRADE-FRB) through ILO/IPEC office,Training and Rehabilitation of Trafficked Children,"The objective of this project is to assist the rehabilitation of trafficked children and reduce the possibility of future trafficking through the establishment of a shelter that offers counseling, basic education/literacy, and vocational training. GRADE-FRB already has land and part of a building that they propose to use for the shelter. Our assistance will refurbish the building and train five teams that will work with children. Up to seventy children will reside at the shelter and receive assistance. GRADE-FRB will also work with the families during this time to ensure a smooth return to the home village, and conduct follow-up visits to ensure the children are not re-trafficked.","$57,640"
Africa,Burkina Faso (Tier 2),Prevention,DOS/AF,ILO/IPEC,Production and Diffusion of a Documentary on Child Trafficking in Burkina Faso,"ILO/IPEC will produce a documentary on child trafficking in Burkina Faso, show it on national television, copy and distribute 50 videocassettes of the documentary regionally for the use of other organizations fighting child trafficking, and will conduct a follow-up survey on public attitudes/understanding of trafficking.","$17,731"
Africa,Burkina Faso (Tier 2),Prevention,DOS/AF,ILO/IPEC,Information Campaign to Acquaint the Public with the New Anti-trafficking Law,"ILO/IPEC will produce and disseminate radio and television spots, pamphlets, signs at airports, bus stations, border crossings, and posters to inform the public about the new trafficking law.","$30,155"
